Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.45063,-0.102963,-0.0785586,0.0112347,0.00553406,-0.00246502,0.000269137,7.14706e-15,-7.86697e-16,0.47973,-0.0370556,-0.0288009,0.00192796,0.000631855,-9.82382e-05,-5.19029e-15,5.30825e-16,0.1,-6.38793e-17,-2.02078e-17,6.38828e-17,-4.16334e-17,1.38778e-17,0,0,0,0,0,0,0,0,0,0
3.26917,-0.21168,-0.0203691,0.00270719,-0.00246614,0.000832747,-7.30129e-05,5.55112e-17,-5.42101e-18,0.258435,-0.123999,-0.00631689,0.00222196,-0.000571872,4.74721e-05,-1.14492e-16,4.36391e-18,0.1,4.79098e-17,-8.43162e-18,-6.93735e-18,3.46945e-18,-3.46945e-18,-8.67362e-19,1.0842e-19,0,0,0,0,0,0,0,0
3.48534,-0.267648,-0.00705546,0.00641016,0.000620186,-0.000360712,4.00475e-05,-8.50015e-17,5.09575e-18,-0.184412,-0.146871,-0.00460985,-0.000182656,0.000204101,-1.15095e-05,3.92048e-16,-2.77556e-17,0.1,-3.0663e-17,-9.68087e-19,4.04763e-18,0,-3.46945e-18,0,0,0,0,0,0,0,0,0,0
3.34381,-0.220744,0.0286888,0.00355962,0.000456174,0.000337183,-5.23419e-05,1.02869e-15,-1.00831e-16,-0.73584,-0.159588,0.00348339,0.00126467,3.52912e-06,4.49488e-06,-4.64906e-16,4.59702e-17,0.1,2.62757e-17,-1.66805e-18,-4.35333e-18,3.46945e-18,0,0,-5.42101e-20,0,0,0,0,0,0,0,0
2.65952,-0.0476854,0.0855035,0.0111869,-0.000886302,-0.000537924,7.28556e-05,3.02536e-15,-2.87747e-16,-1.18092,-0.0905335,0.0180871,0.00181445,7.86793e-05,-3.28053e-05,-8.32667e-16,6.59195e-17,0.1,-1.46337e-17,1.12254e-17,6.58768e-18,-1.38778e-17,0,-3.46945e-18,0,0,0,0,0,0,0,0,0
3.50258,0.224948,0.103949,-0.0050083,-0.00145566,0.000430881,-3.53461e-05,-1.11022e-16,9.32414e-18,-1.26006,0.0418878,0.0297318,0.000331108,-0.000357553,2.86824e-05,9.02056e-17,-6.50521e-18,0.1,7.4135e-18,3.71378e-18,1.63744e-19,-3.46945e-18,3.46945e-18,0,5.42101e-20,0,0,0,0,0,0,0,0
3.78057,0.511263,0.0627514,-0.00377574,0.00024484,-0.000188131,1.47322e-05,4.33681e-17,-2.60209e-18,-0.773061,0.222478,0.0192169,-0.00115955,0.000144759,-1.37331e-05,2.68882e-17,-1.51788e-18,0.1,-1.18329e-17,3.66283e-18,3.78208e-18,-3.46945e-18,0,0,0,0,0,0,0,0,0,0,0
3.91114,0.680709,0.019086,-0.00917172,-0.000494487,9.03511e-05,-6.62332e-06,-4.68375e-17,4.33681e-18,0.299007,0.335322,0.011059,-0.000933299,-0.000114836,8.00552e-06,-3.53884e-16,3.03577e-17,0.1,6.64733e-19,1.17342e-18,1.51572e-18,0,1.73472e-18,0,0,0,0,0,0,0,0,0,0
3.84664,0.600553,-0.0614772,-0.0106438,-9.41546e-05,-3.91727e-05,6.64904e-06,-8.98587e-16,7.76289e-17,1.70428,0.360883,-0.00564209,-0.00150525,4.17179e-05,-1.46379e-05,-9.4369e-16,7.069e-17,0.1,-4.81736e-18,-8.29587e-19,8.29383e-19,0,-1.73472e-18,0,0,0,0,0,0,0,0,0,0
3.68417,0.198245,-0.149182,-0.0114236,0.000286946,8.87095e-05,-2.23411e-06,-7.81146e-15,6.89607e-16,2.92012,0.244132,-0.0276403,-0.00302927,-0.000239815,4.93927e-05,-8.70137e-15,7.97105e-16,0.1,4.48242e-18,-2.79777e-18,-2.38677e-18,0,-1.73472e-18,4.33681e-19,-2.71051e-20,0,0,0,0,0,0,0,0
